Item Name,Price,Tax Rate
"Vegitable Khichdi",169,5
"Khichdi",149,5
"Pani Puri Packing",54,5
"Strawberry Shake",129,5
"Fresh Lime Soda",79,5
"Fresh Lime Water",69,5
"Kaddhi Pakoda Rice Bowl",199,5
"Water",18,0
"Veg Fried Momos",149,5
"Moong  Dal Vegitable Kichdi ",149,5
"Allo Pyaz Paratha",119,5
"Veg Manchurian Sizzler",249,5
"Chilly Panner Sizzler",269,5
"Tawa Butter Roti",18,5
"Tawa Roti",15,5
"Coke 250",20,0
"Kadhi Pakora",239,5
"Paneer Kungpao_",299,5
"Dragon Chilli Paneer_",229,5
"Triple Fried Rice_",209,5
"Chilly Paneer_",239,5
"Veg Salt & Pepper_",229,5
"Veg Manchurian_",219,5
"Schezwan Fried Rice_",199,5
"Crispy Chilly Baby Corn_",199,5
"Crispy Corn_",189,5
"Spring Roll_",169,5
"Veg Fried Rice_",169,5
"Chinese Bhel_",139,5
"Veg Momos_",129,5
"Chilly Mushroom_",249,5
"Schezwan Noodles_",169,5
"Veg Hakka Noodles_",159,5
"Veg Noodles_",159,5
"Singapoori Noodles_",169,5
"Chilly Garlic Noodles_",159,5
"Honey Chilli Potato_",179,5
"Chilly Potato_",159,5
"Paneer Momos_",149,5
"French Fries_",99,5
"Malai Broccoli_",399,5
"Dahi Kebab_",299,5
"Dahi Ke Sholey_",289,5
"Veg Seekh Kebab_",289,5
"Malai Soya Chap_",289,5
"Achari Soya Chap_",269,5
"Harayali Soya Chaap_",269,5
"Malai Paneer Tikka_",349,5
"Tandoori Paneer Tikka_",329,5
"Achari Paneer Tikka_",329,5
"Haryali Paneer Tikka_",329,5
"Afghani Momos_",209,5
"Tandoori Momos_",189,5
"Veg Thupka_",169,5
"Tomato Soup_",169,5
"Sweet Corn Soup_",159,5
"Hot & Sour Soup_",159,5
"Lemon Coriander Soup_",159,5
"Veg Clear Soup_",159,5
"Manchow Soup_",159,5
"Mix Veg Raita_",149,5
"Pineapple Raita_",149,5
"Boondi Raita_",129,5
"Chole Bhature_",139,5
"Pav Bhaji_",149,5
"Red Sauce Pasta_",199,5
"White Sauce Pasta_",229,5
"Dahi Bhalla_",129,5
"Sandwiches_",99,5
"Burgers_",119,5
"Plain Naan_",89,5
"Garlic Naan_",109,5
"Butter Naan_",99,5
"Stuffed Naan_",119,5
"Kashmiri Naan_",119,5
"Laccha Parantha_",69,5
"Tandoori Buttter Roti_",25,5
"Tandoori Roti_",20,5
"Kashmiri Pulao_",259,5
"Plain Rice_",149,5
"Veg Biryani_",239,5
"Jeera Rice_",159,5
"Veg Pulao_",199,5
"Kadhai Paneer_",419,5
"Paneer Lababdar_",399,5
"Paneer Tikka Butter Masala_",419,5
"Paneer Butter Masala_",409,5
"Paneer Do Pyaza_",399,5
"Lachha Paneer_",389,5
"Handi Paneer_",379,5
"Palak Paneer_",369,5
"Paneer Noor Rani_",389,5
"Matar Paneer_",379,5
"Shahi Paneer_",379,5
"Palak Corn_",359,5
"Paneer Bhurji_",349,5
"Chaap Butter Masala_",379,5
"Veg Jalfrezi_",359,5
"Veg Kohlapuri_",359,5
"Sarso Da Saag_",359,5
"Kadhai Mushroom_",359,5
"Mushroom Masala_",349,5
"Malai Kofta_",349,5
"Amritsari Chole_",349,5
"Soya Chaap Masala_",349,5
"Nargese Kofta_",329,5
"Veg Kofta_",329,5
"Tawa Chaap_",329,5
"Dal Makhani_",329,5
"Mix Vegetable_",299,5
"Masala Aloo Gobhi_",249,5
"Dal Handi_",249,5
"Dal Tadka_",239,5
"Aloo Jeera_",229,5
"Sting",20,5
"Coca Cola Medium",0,5
"Mushroom Sandwich + Fries",199,5
"Paneer Tikka Sandwich + Fries",189,5
"Grilled Cheese Sandwich + Fries",169,5
"Pani Puri",49,5
"Dahi Bhalla",129,5
"Butter Naan (1pc) + Butter Roti(1pc) + Dal Makhani",289,5
"Peri Peri Fries",159,5
"White Sauce Pasta + Garlic Bread",239,5
"Red Sauce Pasta + Garlic Bread",219,5
"Gulab Jamun",89,5
"Cold Coffee",169,5
"Veg Manchurian (Gravy)",269,5
"Veg Manchurian (Dry)",259,5
"Triple Fried Rice",229,5
"Chilly Garlic Fried Rice",209,5
"Schezwan Fried Rice",199,5
"Paneer 65",279,5
"Chilli Paneer (Gravy)",289,5
"Chilli Paneer (Dry)",279,5
"Kurkure Paneer Momos",219,5
"Kurkure Veg Momos",199,5
"Chilly Mushroom (Gravy)",249,5
"Mushroom Sandwich + Fries - D",179,5
"Paneer Tikka Sandwich + Fries - D",189,5
"Grilled Cheese Sandwich + Fries - D",149,5
"Dahi Gol Gappa - D",99,5
"Pani Puri - D",49,5
"Dahi Bhalla - D",109,5
"Peri Peri Fries - D",119,5
"White Sauce Pasta + Garlic Bread - D",229,5
"Red Sauce Pasta + Garlic Bread - D",179,5
"Gulab Jamun - D",49,5
"Hot Coffee - D",99,5
"Veg Manchurian (GRAVY) - D",229,5
"Veg Manchurian (DRY) - D",219,5
"Triple Fried Rice - D",189,5
"Chilly Garlic Fried Rice - D",169,5
"Schezwan Fried Rice - D",159,5
"Paneer 65 - D",239,5
"Kurkure Paneer Momos - D",179,5
"Kurkure Veg Momos - D",159,5
"Chilly Mushroom (Gravy)  - D",249,5
"Dal Tadka - D",239,5
"Dal Makhani - D",299,5
"Dal Handi - D",249,5
"Tawa Chaap - D",329,5
"Soya Chaap Masala - D",339,5
"Chaap Butter Masala - D",379,5
"Amritsari Chole - D",349,5
